device_id,timestamp,energy_consumption
10,2020-01-01 00:00:00,102.48357076505616
2,2020-01-01 01:00:00,105.8624974690641
1,2020-01-01 02:00:00,115.90512838521747
10,2020-01-01 03:00:00,125.54284735377482
1,2020-01-01 04:00:00,120.8132396104223
4,2020-01-01 05:00:00,123.39417510926583
3,2020-01-01 06:00:00,133.396121161679
5,2020-01-01 07:00:00,128.5687192344903
9,2020-01-01 08:00:00,119.97000594379223
8,2020-01-01 09:00:00,121.14055537380655
9,2020-01-01 10:00:00,111.01634000950774
5,2020-01-01 11:00:00,105.0585986806388
8,2020-01-01 12:00:00,102.20992552611423
4,2020-01-01 13:00:00,85.04657966478906
5,2020-01-01 14:00:00,80.0422107004329
3,2020-01-01 15:00:00,80.76103553448652
5,2020-01-01 16:00:00,74.61869486142899
3,2020-01-01 17:00:00,78.83991941081874
5,2020-01-01 18:00:00,71.96005087482001
5,2020-01-01 19:00:00,70.3738499358799
6,2020-01-01 20:00:00,87.34446569713688
9,2020-01-01 21:00:00,82.94364876240073
1,2020-01-01 22:00:00,89.6711836652937
10,2020-01-01 23:00:00,88.32266843058076
6,2020-01-02 00:00:00,99.27831471394218
1,2020-01-02 01:00:00,109.10866026003745
6,2020-01-02 02:00:00,108.91194614417059
2,2020-01-02 03:00:00,121.80641650003118
8,2020-01-02 04:00:00,120.98104137101306
3,2020-01-02 05:00:00,125.10661948161345
10,2020-01-02 06:00:00,124.49175235956314
6,2020-01-02 07:00:00,135.99316484783853
6,2020-01-02 08:00:00,124.25012008634543
4,2020-01-02 09:00:00,115.13942884766533
5,2020-01-02 10:00:00,119.4463813706541
2,2020-01-02 11:00:00,103.28325753520308
10,2020-01-02 12:00:00,104.04466047987593
10,2020-01-02 13:00:00,86.81485860524728
8,2020-01-02 14:00:00,84.02609795507402
10,2020-01-02 15:00:00,86.55700769660511
7,2020-01-02 16:00:00,85.37541169964625
10,2020-01-02 17:00:00,80.12575249036031
6,2020-01-02 18:00:00,77.92215817705298
7,2020-01-02 19:00:00,77.93007830117804
1,2020-01-02 20:00:00,74.62384023726008
5,2020-01-02 21:00:00,82.47353755942795
7,2020-01-02 22:00:00,89.03057712362325
1,2020-01-02 23:00:00,102.73224882931075
2,2020-01-03 00:00:00,105.71854812097851
9,2020-01-03 01:00:00,101.73907487124255
3,2020-01-03 02:00:00,118.28756221482419
6,2020-01-03 03:00:00,120.00274334278933
7,2020-01-03 04:00:00,122.59985315564539
9,2020-01-03 05:00:00,131.62369801135227
5,2020-01-03 06:00:00,134.65551136975796
4,2020-01-03 07:00:00,133.38840285744294
2,2020-01-03 08:00:00,122.12174693049
3,2020-01-03 09:00:00,120.88214994975685
5,2020-01-03 10:00:00,118.99020230372409
2,2020-01-03 11:00:00,116.26542975723808
4,2020-01-03 12:00:00,102.6046996521938
1,2020-01-03 13:00:00,97.68514267789517
4,2020-01-03 14:00:00,87.13558166610412
7,2020-01-03 15:00:00,81.59189673342424
3,2020-01-03 16:00:00,87.7459362482083
10,2020-01-03 17:00:00,88.0503395638327
8,2020-01-03 18:00:00,80.14057731766061
6,2020-01-03 19:00:00,86.4534896051527
6,2020-01-03 20:00:00,85.82485865090348
1,2020-01-03 21:00:00,84.84738816494398
5,2020-01-03 22:00:00,95.14097734253235
3,2020-01-03 23:00:00,107.13704886711409
10,2020-01-04 00:00:00,105.82155481415454
1,2020-01-04 01:00:00,120.37772226369437
8,2020-01-04 02:00:00,105.5686451839696
7,2020-01-04 03:00:00,128.03789560331512
7,2020-01-04 04:00:00,128.41992683493413
10,2020-01-04 05:00:00,129.07050815138672
10,2020-01-04 06:00:00,131.95954597652383
